metodo,n,media,desviacion,error_media,error_desviacion,error_conjunto,tiempo_segundos,ks_estadistico,ks_p_valor
Polar,10000,0.004343216399189493,1.0001228954567356,0.004343216399189493,0.00012289545673560553,0.00434495477346713,0.002891124924644828,0.007399926792764133,0.6412337891666549
Aceptacion-Rechazo,10000,-0.004907182831118833,0.9917401512680383,0.004907182831118833,0.008259848731961728,0.009607577447666878,0.003515375079587102,0.005189291185709433,0.9492346520637485
